getter,peers,micros,payload,rcv_flag,span
1,16,1,32,0,28
1,16,1,32,0,23
1,16,1,32,0,78
1,16,1,32,0,26
1,16,1,32,0,20
1,16,1,32,0,21
1,16,1,32,0,28
1,16,1,32,0,26
1,16,1,32,0,19
1,16,1,32,0,22
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,14
1,16,1,32,0,22
1,16,1,32,0,150
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,168
1,16,1,32,0,15
1,16,1,32,0,33
1,16,1,32,0,22
1,16,1,32,0,60
1,16,1,32,0,22
1,16,1,32,0,20
1,16,1,32,0,56
1,16,1,32,0,54
1,16,1,32,0,22
1,16,1,32,0,13
1,16,1,32,0,64
1,16,1,32,0,19
1,16,1,32,0,18
1,16,1,32,0,37
1,16,1,32,0,157
1,16,1,32,0,19
1,16,1,32,0,20
1,16,1,32,0,43
1,16,1,32,0,21
1,16,1,32,0,20
1,16,1,32,0,15
1,16,1,32,0,22
1,16,1,32,0,29
1,16,1,32,0,22
1,16,1,32,0,15
1,16,1,32,0,21
1,16,1,32,0,21
1,16,1,32,0,20
1,16,1,32,0,19
1,16,1,32,0,19
1,16,1,32,0,45
1,16,1,32,0,25
1,16,1,32,0,20
1,16,1,32,0,13
1,16,1,32,0,16
1,16,1,32,0,34
1,16,1,32,0,60
1,16,1,32,0,20
1,16,1,32,0,29
1,16,1,32,0,22
1,16,1,32,0,18
1,16,1,32,0,24
1,16,1,32,0,19
1,16,1,32,0,21
1,16,1,32,0,98
1,16,1,32,0,43
1,16,1,32,0,53
1,16,1,32,0,91
1,16,1,32,0,13
1,16,1,32,0,23
1,16,1,32,0,19
1,16,1,32,0,17
1,16,1,32,0,13
1,16,1,32,0,23
1,16,1,32,0,36
1,16,1,32,0,63
1,16,1,32,0,41
1,16,1,32,0,16
1,16,1,32,0,19
1,16,1,32,0,18
1,16,1,32,0,27
1,16,1,32,0,15
1,16,1,32,0,103
1,16,1,32,0,97
1,16,1,32,0,24
1,16,1,32,0,35
1,16,1,32,0,21
1,16,1,32,0,15
1,16,1,32,0,22
1,16,1,32,0,19
1,16,1,32,0,30
1,16,1,32,0,22
1,16,1,32,0,38
1,16,1,32,0,15
1,16,1,32,0,21
1,16,1,32,0,23
1,16,1,32,0,21
1,16,1,32,0,28
1,16,1,32,0,22
1,16,1,32,0,13
1,16,1,32,0,19
1,16,1,32,0,27
1,16,1,32,0,17
1,16,1,32,0,109
1,16,1,32,0,21
1,16,1,32,0,16
1,16,1,32,0,14
1,16,1,32,0,18
1,16,1,32,0,90
1,16,1,32,0,21
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,27
1,16,1,32,0,13
1,16,1,32,0,140
1,16,1,32,0,18
1,16,1,32,0,19
1,16,1,32,0,59
1,16,1,32,0,19
1,16,1,32,0,16
1,16,1,32,0,23
1,16,1,32,0,106
1,16,1,32,0,77
1,16,1,32,0,25
1,16,1,32,0,19
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,16
1,16,1,32,0,22
1,16,1,32,0,21
1,16,1,32,0,14
1,16,1,32,0,19
1,16,1,32,0,40
1,16,1,32,0,25
1,16,1,32,0,109
1,16,1,32,0,15
1,16,1,32,0,21
1,16,1,32,0,9
1,16,1,32,0,21
1,16,1,32,0,105
1,16,1,32,0,16
1,16,1,32,0,19
1,16,1,32,0,25
1,16,1,32,0,20
1,16,1,32,0,14
1,16,1,32,0,33
1,16,1,32,0,37
1,16,1,32,0,15
1,16,1,32,0,21
1,16,1,32,0,16
1,16,1,32,0,37
1,16,1,32,0,50
1,16,1,32,0,58
1,16,1,32,0,16
1,16,1,32,0,52
1,16,1,32,0,160
1,16,1,32,0,29
1,16,1,32,0,52
1,16,1,32,0,65
1,16,1,32,0,114
1,16,1,32,0,19
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,22
1,16,1,32,0,21
1,16,1,32,0,17
1,16,1,32,0,15
1,16,1,32,0,37
1,16,1,32,0,23
1,16,1,32,0,116
1,16,1,32,0,19
1,16,1,32,0,840
1,16,1,32,0,19
1,16,1,32,0,25
1,16,1,32,0,97
1,16,1,32,0,19
1,16,1,32,0,20
1,16,1,32,0,39
1,16,1,32,0,50
1,16,1,32,0,19
1,16,1,32,0,21
1,16,1,32,0,23
1,16,1,32,0,20
1,16,1,32,0,26
1,16,1,32,0,20
1,16,1,32,0,22
1,16,1,32,0,105
1,16,1,32,0,20
1,16,1,32,0,23
1,16,1,32,0,34
1,16,1,32,0,21
1,16,1,32,0,60
1,16,1,32,0,58
1,16,1,32,0,20
1,16,1,32,0,29
1,16,1,32,0,20
1,16,1,32,0,19
1,16,1,32,0,101
1,16,1,32,0,24
1,16,1,32,0,23
1,16,1,32,0,14
1,16,1,32,0,16
1,16,1,32,0,27
1,16,1,32,0,20
1,16,1,32,0,22
1,16,1,32,0,14
1,16,1,32,0,23
1,16,1,32,0,25
1,16,1,32,0,61
1,16,1,32,0,22
1,16,1,32,0,22
1,16,1,32,0,21
1,16,1,32,0,75
1,16,1,32,0,20
1,16,1,32,0,17
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,42
1,16,1,32,0,20
1,16,1,32,0,19
1,16,1,32,0,42
1,16,1,32,0,22
1,16,1,32,0,17
1,16,1,32,0,19
1,16,1,32,0,24
1,16,1,32,0,20
1,16,1,32,0,18
1,16,1,32,0,20
1,16,1,32,0,32
1,16,1,32,0,16
1,16,1,32,0,76
1,16,1,32,0,19
1,16,1,32,0,19
1,16,1,32,0,23
1,16,1,32,0,35
1,16,1,32,0,18
1,16,1,32,0,24
1,16,1,32,0,21
1,16,1,32,0,33
1,16,1,32,0,21
1,16,1,32,0,21
1,16,1,32,0,25
1,16,1,32,0,15
1,16,1,32,0,21
1,16,1,32,0,21
1,16,1,32,0,50
1,16,1,32,0,69
1,16,1,32,0,42
1,16,1,32,0,44
1,16,1,32,0,31
1,16,1,32,0,30
1,16,1,32,0,22
1,16,1,32,0,19
1,16,1,32,0,16
1,16,1,32,0,41
1,16,1,32,0,15
1,16,1,32,0,42
1,16,1,32,0,15
1,16,1,32,0,19
1,16,1,32,0,19
1,16,1,32,0,28
1,16,1,32,0,20
1,16,1,32,0,58
1,16,1,32,0,159
1,16,1,32,0,21
1,16,1,32,0,49
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,30
1,16,1,32,0,23
1,16,1,32,0,19
1,16,1,32,0,70
1,16,1,32,0,32
1,16,1,32,0,43
1,16,1,32,0,25
1,16,1,32,0,21
1,16,1,32,0,21
1,16,1,32,0,22
1,16,1,32,0,42
1,16,1,32,0,50
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,17
1,16,1,32,0,22
1,16,1,32,0,20
1,16,1,32,0,17
1,16,1,32,0,14
1,16,1,32,0,40
1,16,1,32,0,17
1,16,1,32,0,30
1,16,1,32,0,19
1,16,1,32,0,21
1,16,1,32,0,28
1,16,1,32,0,21
1,16,1,32,0,39
1,16,1,32,0,21
1,16,1,32,0,21
1,16,1,32,0,16
1,16,1,32,0,21
1,16,1,32,0,21
1,16,1,32,0,14
1,16,1,32,0,15
1,16,1,32,0,18
1,16,1,32,0,20
1,16,1,32,0,16
1,16,1,32,0,7
1,16,1,32,0,24
1,16,1,32,0,110
1,16,1,32,0,32
1,16,1,32,0,21
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,23
1,16,1,32,0,17
1,16,1,32,0,19
1,16,1,32,0,25
1,16,1,32,0,91
1,16,1,32,0,25
1,16,1,32,0,45
1,16,1,32,0,25
1,16,1,32,0,79
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,22
1,16,1,32,0,21
1,16,1,32,0,27
1,16,1,32,0,32
1,16,1,32,0,26
1,16,1,32,0,26
1,16,1,32,0,18
1,16,1,32,0,89
1,16,1,32,0,39
1,16,1,32,0,28
1,16,1,32,0,25
1,16,1,32,0,21
1,16,1,32,0,21
1,16,1,32,0,30
1,16,1,32,0,21
1,16,1,32,0,150
1,16,1,32,0,23
1,16,1,32,0,30
1,16,1,32,0,21
1,16,1,32,0,28
1,16,1,32,0,20
1,16,1,32,0,33
1,16,1,32,0,32
1,16,1,32,0,71
1,16,1,32,0,79
1,16,1,32,0,82
1,16,1,32,0,22
1,16,1,32,0,21
1,16,1,32,0,130
1,16,1,32,0,18
1,16,1,32,0,22
1,16,1,32,0,38
1,16,1,32,0,25
1,16,1,32,0,19
1,16,1,32,0,28
1,16,1,32,0,17
1,16,1,32,0,32
1,16,1,32,0,28
1,16,1,32,0,21
1,16,1,32,0,19
1,16,1,32,0,19
1,16,1,32,0,76
1,16,1,32,0,45
1,16,1,32,0,58
1,16,1,32,0,20
1,16,1,32,0,16
1,16,1,32,0,21
1,16,1,32,0,21
1,16,1,32,0,18
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,22
1,16,1,32,0,22
1,16,1,32,0,20
1,16,1,32,0,17
1,16,1,32,0,19
1,16,1,32,0,21
1,16,1,32,0,49
1,16,1,32,0,390
1,16,1,32,0,25
1,16,1,32,0,95
1,16,1,32,0,14
1,16,1,32,0,59
1,16,1,32,0,14
1,16,1,32,0,51
1,16,1,32,0,18
1,16,1,32,0,22
1,16,1,32,0,22
1,16,1,32,0,25
1,16,1,32,0,16
1,16,1,32,0,33
1,16,1,32,0,25
1,16,1,32,0,28
1,16,1,32,0,24
1,16,1,32,0,25
1,16,1,32,0,8
1,16,1,32,0,55
1,16,1,32,0,25
1,16,1,32,0,20
1,16,1,32,0,51
1,16,1,32,0,28
1,16,1,32,0,25
1,16,1,32,0,20
1,16,1,32,0,23
1,16,1,32,0,30
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,99
1,16,1,32,0,22
1,16,1,32,0,19
1,16,1,32,0,45
1,16,1,32,0,19
1,16,1,32,0,35
1,16,1,32,0,19
1,16,1,32,0,39
1,16,1,32,0,20
1,16,1,32,0,18
1,16,1,32,0,18
1,16,1,32,0,20
1,16,1,32,0,18
1,16,1,32,0,15
1,16,1,32,0,155
1,16,1,32,0,41
1,16,1,32,0,21
1,16,1,32,0,26
1,16,1,32,0,19
1,16,1,32,0,16
1,16,1,32,0,19
1,16,1,32,0,15
1,16,1,32,0,26
1,16,1,32,0,26
1,16,1,32,0,183
1,16,1,32,0,126
1,16,1,32,0,32
1,16,1,32,0,61
1,16,1,32,0,19
1,16,1,32,0,24
1,16,1,32,0,22
1,16,1,32,0,27
1,16,1,32,0,25
1,16,1,32,0,17
1,16,1,32,0,21
1,16,1,32,0,28
1,16,1,32,0,24
1,16,1,32,0,25
1,16,1,32,0,28
1,16,1,32,0,19
1,16,1,32,0,17
1,16,1,32,0,19
1,16,1,32,0,18
1,16,1,32,0,18
1,16,1,32,0,19
1,16,1,32,0,19
1,16,1,32,0,20
1,16,1,32,0,19
1,16,1,32,0,21
1,16,1,32,0,23
1,16,1,32,0,16
1,16,1,32,0,20
1,16,1,32,0,21
1,16,1,32,0,19
1,16,1,32,0,14
1,16,1,32,0,20
1,16,1,32,0,28
1,16,1,32,0,22
1,16,1,32,0,19
1,16,1,32,0,22
1,16,1,32,0,15
1,16,1,32,0,25
1,16,1,32,0,22
1,16,1,32,0,27
1,16,1,32,0,24
1,16,1,32,0,20
1,16,1,32,0,29
1,16,1,32,0,26
1,16,1,32,0,18
1,16,1,32,0,29
1,16,1,32,0,33
1,16,1,32,0,15
1,16,1,32,0,19
1,16,1,32,0,14
1,16,1,32,0,18
1,16,1,32,0,19
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,78
1,16,1,32,0,24
1,16,1,32,0,14
1,16,1,32,0,18
1,16,1,32,0,23
1,16,1,32,0,153
1,16,1,32,0,19
1,16,1,32,0,27
1,16,1,32,0,100
1,16,1,32,0,21
1,16,1,32,0,20
1,16,1,32,0,22
1,16,1,32,0,13
1,16,1,32,0,19
1,16,1,32,0,16
1,16,1,32,0,27
1,16,1,32,0,45
1,16,1,32,0,26
1,16,1,32,0,62
1,16,1,32,0,16
1,16,1,32,0,26
1,16,1,32,0,16
1,16,1,32,0,20
1,16,1,32,0,21
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,22
1,16,1,32,0,22
1,16,1,32,0,40
1,16,1,32,0,32
1,16,1,32,0,18
1,16,1,32,0,20
1,16,1,32,0,31
1,16,1,32,0,36
1,16,1,32,0,17
1,16,1,32,0,124
1,16,1,32,0,21
1,16,1,32,0,25
1,16,1,32,0,21
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,24
1,16,1,32,0,21
1,16,1,32,0,18
1,16,1,32,0,19
1,16,1,32,0,18
1,16,1,32,0,14
1,16,1,32,0,22
1,16,1,32,0,136
1,16,1,32,0,20
1,16,1,32,0,18
1,16,1,32,0,40
1,16,1,32,0,21
1,16,1,32,0,34
1,16,1,32,0,41
1,16,1,32,0,26
1,16,1,32,0,14
1,16,1,32,0,21
1,16,1,32,0,20
1,16,1,32,0,21
1,16,1,32,0,19
1,16,1,32,0,22
1,16,1,32,0,18
1,16,1,32,0,14
1,16,1,32,0,31
1,16,1,32,0,44
1,16,1,32,0,21
1,16,1,32,0,19
1,16,1,32,0,48
1,16,1,32,0,25
1,16,1,32,0,17
1,16,1,32,0,47
1,16,1,32,0,35
1,16,1,32,0,22
1,16,1,32,0,17
1,16,1,32,0,32
1,16,1,32,0,33
1,16,1,32,0,22
1,16,1,32,0,16
1,16,1,32,0,14
1,16,1,32,0,19
1,16,1,32,0,25
1,16,1,32,0,26
1,16,1,32,0,27
1,16,1,32,0,32
1,16,1,32,0,22
1,16,1,32,0,23
1,16,1,32,0,23
1,16,1,32,0,40
1,16,1,32,0,20
1,16,1,32,0,19
1,16,1,32,0,20
1,16,1,32,0,20
1,16,1,32,0,22
1,16,1,32,0,20
1,16,1,32,0,58
1,16,1,32,0,20
1,16,1,32,0,22
1,16,1,32,0,111
1,16,1,32,0,24
1,16,1,32,0,22
1,16,1,32,0,19
1,16,1,32,0,58
1,16,1,32,0,417
1,16,1,32,0,20
1,16,1,32,0,10
1,16,1,32,0,16
1,16,1,32,0,20
1,16,1,32,0,22
1,16,1,32,0,26
1,16,1,32,0,21
1,16,1,32,0,20
1,16,1,32,0,24
1,16,1,32,0,95
1,16,1,32,0,22
1,16,1,32,0,22
1,16,1,32,0,24
1,16,1,32,0,27
1,16,1,32,0,20
1,16,1,32,0,15
1,16,1,32,0,19
1,16,1,32,0,21
1,16,1,32,0,17
1,16,1,32,0,18
1,16,1,32,0,19
1,16,1,32,0,54
1,16,1,32,0,19
1,16,1,32,0,21
1,16,1,32,0,29
1,16,1,32,0,21
1,16,1,32,0,21
1,16,1,32,0,20
1,16,1,32,0,18
1,16,1,32,0,58
1,16,1,32,0,91
1,16,1,32,0,20
1,16,1,32,0,15
1,16,1,32,0,35
1,16,1,32,0,19
1,16,1,32,0,17
1,16,1,32,0,25
1,16,1,32,0,103
1,16,1,32,0,59
1,16,1,32,0,77
1,16,1,32,0,186
1,16,1,32,0,21
1,16,1,32,0,24
1,16,1,32,0,21
1,16,1,32,0,20
1,16,1,32,0,42
1,16,1,32,0,27
1,16,1,32,0,19
1,16,1,32,0,23
1,16,1,32,0,21
1,16,1,32,0,18
1,16,1,32,0,21
1,16,1,32,0,20
1,16,1,32,0,36
1,16,1,32,0,20
1,16,1,32,0,62
1,16,1,32,0,16
1,16,1,32,0,30
1,16,1,32,0,18
1,16,1,32,0,34
1,16,1,32,0,19
1,16,1,32,0,21
1,16,1,32,0,20
1,16,1,32,0,62
1,16,1,32,0,17
1,16,1,32,0,16
1,16,1,32,0,19
1,16,1,32,0,58
1,16,1,32,0,21
1,16,1,32,0,114
1,16,1,32,0,17
1,16,1,32,0,13
1,16,1,32,0,21
1,16,1,32,0,26
1,16,1,32,0,24
1,16,1,32,0,48
1,16,1,32,0,21
1,16,1,32,0,37
1,16,1,32,0,19
1,16,1,32,0,91
1,16,1,32,0,22
1,16,1,32,0,21
1,16,1,32,0,43
1,16,1,32,0,86
1,16,1,32,0,23
1,16,1,32,0,24
1,16,1,32,0,20
1,16,1,32,0,21
1,16,1,32,0,23
1,16,1,32,0,27
1,16,1,32,0,19
1,16,1,32,0,24
1,16,1,32,0,18
1,16,1,32,0,20
1,16,1,32,0,28
1,16,1,32,0,48
1,16,1,32,0,170
1,16,1,32,0,20
1,16,1,32,0,88
1,16,1,32,0,21
1,16,1,32,0,50
1,16,1,32,0,19
1,16,1,32,0,20
1,16,1,32,0,37
1,16,1,32,0,25
1,16,1,32,0,22
1,16,1,32,0,32
1,16,1,32,0,18
1,16,1,32,0,25
1,16,1,32,0,26
1,16,1,32,0,23
1,16,1,32,0,23
1,16,1,32,0,22
1,16,1,32,0,25
1,16,1,32,0,168
1,16,1,32,0,27
1,16,1,32,0,16
1,16,1,32,0,26
1,16,1,32,0,13
1,16,1,32,0,12
1,16,1,32,0,14
1,16,1,32,0,14
1,16,1,32,0,61
1,16,1,32,0,27
1,16,1,32,0,17
1,16,1,32,0,12
1,16,1,32,0,17
1,16,1,32,0,14
1,16,1,32,0,11
1,16,1,32,0,13
1,16,1,32,0,14
1,16,1,32,0,19
1,16,1,32,0,12
1,16,1,32,0,59
1,16,1,32,0,23
1,16,1,32,0,39
1,16,1,32,0,14
1,16,1,32,0,12
1,16,1,32,0,13
1,16,1,32,0,12
1,16,1,32,0,14
1,16,1,32,0,12
1,16,1,32,0,156
1,16,1,32,0,10
1,16,1,32,0,18
1,16,1,32,0,12
1,16,1,32,0,15
1,16,1,32,0,17
1,16,1,32,0,72
1,16,1,32,0,13
1,16,1,32,0,29
1,16,1,32,0,75
1,16,1,32,0,15
1,16,1,32,0,15
1,16,1,32,0,15
1,16,1,32,0,68
1,16,1,32,0,16
1,16,1,32,0,17
1,16,1,32,0,16
1,16,1,32,0,41
1,16,1,32,0,13
1,16,1,32,0,15
1,16,1,32,0,14
1,16,1,32,0,20
1,16,1,32,0,12
1,16,1,32,0,18
1,16,1,32,0,15
1,16,1,32,0,34
1,16,1,32,0,65
1,16,1,32,0,18
1,16,1,32,0,12
1,16,1,32,0,69
1,16,1,32,0,13
1,16,1,32,0,17
1,16,1,32,0,18
1,16,1,32,0,13
1,16,1,32,0,15
1,16,1,32,0,11
1,16,1,32,0,17
1,16,1,32,0,114
1,16,1,32,0,11
1,16,1,32,0,15
1,16,1,32,0,29
1,16,1,32,0,18
1,16,1,32,0,12
1,16,1,32,0,10
1,16,1,32,0,14
1,16,1,32,0,11
1,16,1,32,0,13
1,16,1,32,0,12
1,16,1,32,0,11
1,16,1,32,0,17
1,16,1,32,0,16
1,16,1,32,0,16
1,16,1,32,0,43
1,16,1,32,0,16
1,16,1,32,0,13
1,16,1,32,0,12
1,16,1,32,0,13
1,16,1,32,0,12
1,16,1,32,0,12
1,16,1,32,0,12
1,16,1,32,0,13
1,16,1,32,0,58
1,16,1,32,0,13
1,16,1,32,0,75
1,16,1,32,0,17
1,16,1,32,0,25
1,16,1,32,0,14
1,16,1,32,0,295
1,16,1,32,0,13
1,16,1,32,0,75
1,16,1,32,0,15
1,16,1,32,0,17
1,16,1,32,0,15
1,16,1,32,0,12
1,16,1,32,0,31
1,16,1,32,0,31
1,16,1,32,0,17
1,16,1,32,0,73
1,16,1,32,0,12
1,16,1,32,0,11
1,16,1,32,0,15
1,16,1,32,0,19
1,16,1,32,0,29
1,16,1,32,0,17
1,16,1,32,0,12
1,16,1,32,0,15
1,16,1,32,0,12
1,16,1,32,0,12
1,16,1,32,0,14
1,16,1,32,0,16
1,16,1,32,0,16
1,16,1,32,0,27
1,16,1,32,0,86
1,16,1,32,0,15
1,16,1,32,0,22
1,16,1,32,0,16
1,16,1,32,0,22
1,16,1,32,0,10
1,16,1,32,0,41
1,16,1,32,0,46
1,16,1,32,0,21
1,16,1,32,0,15
1,16,1,32,0,14
1,16,1,32,0,164
1,16,1,32,0,12
1,16,1,32,0,14
1,16,1,32,0,12
1,16,1,32,0,13
1,16,1,32,0,13
1,16,1,32,0,17
1,16,1,32,0,14
1,16,1,32,0,42
1,16,1,32,0,14
1,16,1,32,0,80
1,16,1,32,0,15
1,16,1,32,0,15
1,16,1,32,0,15
1,16,1,32,0,139
1,16,1,32,0,68
1,16,1,32,0,69
1,16,1,32,0,19
1,16,1,32,0,87
1,16,1,32,0,13
1,16,1,32,0,13
1,16,1,32,0,14
1,16,1,32,0,13
1,16,1,32,0,24
1,16,1,32,0,14
1,16,1,32,0,116
1,16,1,32,0,13
1,16,1,32,0,114
1,16,1,32,0,15
1,16,1,32,0,136
1,16,1,32,0,51
1,16,1,32,0,70
1,16,1,32,0,58
1,16,1,32,0,20
1,16,1,32,0,30
1,16,1,32,0,27
1,16,1,32,0,14
1,16,1,32,0,61
1,16,1,32,0,13
1,16,1,32,0,135
1,16,1,32,0,23
1,16,1,32,0,16
1,16,1,32,0,13
1,16,1,32,0,12
1,16,1,32,0,9
1,16,1,32,0,13
1,16,1,32,0,18
1,16,1,32,0,62
1,16,1,32,0,33
1,16,1,32,0,21
1,16,1,32,0,13
1,16,1,32,0,68
1,16,1,32,0,16
1,16,1,32,0,12
1,16,1,32,0,14
1,16,1,32,0,13
1,16,1,32,0,21
1,16,1,32,0,12
1,16,1,32,0,13
1,16,1,32,0,12
1,16,1,32,0,18
1,16,1,32,0,12
1,16,1,32,0,56
1,16,1,32,0,9
1,16,1,32,0,11
1,16,1,32,0,12
1,16,1,32,0,15
1,16,1,32,0,37
1,16,1,32,0,11
1,16,1,32,0,21
1,16,1,32,0,23
1,16,1,32,0,15
1,16,1,32,0,77
1,16,1,32,0,130
1,16,1,32,0,16
1,16,1,32,0,18
1,16,1,32,0,27
1,16,1,32,0,69
1,16,1,32,0,41
1,16,1,32,0,51
1,16,1,32,0,32
1,16,1,32,0,11
1,16,1,32,0,17
1,16,1,32,0,49
1,16,1,32,0,21
1,16,1,32,0,17
1,16,1,32,0,25
1,16,1,32,0,12
1,16,1,32,0,65
1,16,1,32,0,23
1,16,1,32,0,14
1,16,1,32,0,27
1,16,1,32,0,20
1,16,1,32,0,17
1,16,1,32,0,18
1,16,1,32,0,17
1,16,1,32,0,49
1,16,1,32,0,13
1,16,1,32,0,16
1,16,1,32,0,18
1,16,1,32,0,14
1,16,1,32,0,88
1,16,1,32,0,19
1,16,1,32,0,107
1,16,1,32,0,13
1,16,1,32,0,12
1,16,1,32,0,12
1,16,1,32,0,107
1,16,1,32,0,12
1,16,1,32,0,12
1,16,1,32,0,33
1,16,1,32,0,24
1,16,1,32,0,18
1,16,1,32,0,18
1,16,1,32,0,88
1,16,1,32,0,144
1,16,1,32,0,17
1,16,1,32,0,19
1,16,1,32,0,12
1,16,1,32,0,12
1,16,1,32,0,12
1,16,1,32,0,13
1,16,1,32,0,12
1,16,1,32,0,81
1,16,1,32,0,69
1,16,1,32,0,14
1,16,1,32,0,13
1,16,1,32,0,32
1,16,1,32,0,41
1,16,1,32,0,19
1,16,1,32,0,18
1,16,1,32,0,22
1,16,1,32,0,12
1,16,1,32,0,21
1,16,1,32,0,20
1,16,1,32,0,27
1,16,1,32,0,48
1,16,1,32,0,14
1,16,1,32,0,49
1,16,1,32,0,52
1,16,1,32,0,17
1,16,1,32,0,17
1,16,1,32,0,11
1,16,1,32,0,20
1,16,1,32,0,15
1,16,1,32,0,26
1,16,1,32,0,138
1,16,1,32,0,44
1,16,1,32,0,20
1,16,1,32,0,12
1,16,1,32,0,40
1,16,1,32,0,12
1,16,1,32,0,58
1,16,1,32,0,118
1,16,1,32,0,70
1,16,1,32,0,25
1,16,1,32,0,51
1,16,1,32,0,70
1,16,1,32,0,12
1,16,1,32,0,52
1,16,1,32,0,71
1,16,1,32,0,51
1,16,1,32,0,13
1,16,1,32,0,13
1,16,1,32,0,43
1,16,1,32,0,18
1,16,1,32,0,18
1,16,1,32,0,18
1,16,1,32,0,62
1,16,1,32,0,17
1,16,1,32,0,14
1,16,1,32,0,14
1,16,1,32,0,56
1,16,1,32,0,31
1,16,1,32,0,200
1,16,1,32,0,10
1,16,1,32,0,19
1,16,1,32,0,13
1,16,1,32,0,13
1,16,1,32,0,83
1,16,1,32,0,18
1,16,1,32,0,15
1,16,1,32,0,17
1,16,1,32,0,21
1,16,1,32,0,15
1,16,1,32,0,24
1,16,1,32,0,16
1,16,1,32,0,12
1,16,1,32,0,12
1,16,1,32,0,13
1,16,1,32,0,18
1,16,1,32,0,15
1,16,1,32,0,15
1,16,1,32,0,92
1,16,1,32,0,8
1,16,1,32,0,16
1,16,1,32,0,17
1,16,1,32,0,11
1,16,1,32,0,12
1,16,1,32,0,13
1,16,1,32,0,13
1,16,1,32,0,15
1,16,1,32,0,8
1,16,1,32,0,23
1,16,1,32,0,15
1,16,1,32,0,14
1,16,1,32,0,17
1,16,1,32,0,20
1,16,1,32,0,15
1,16,1,32,0,40
1,16,1,32,0,13
1,16,1,32,0,12
1,16,1,32,0,17
1,16,1,32,0,14
1,16,1,32,0,12
1,16,1,32,0,12
1,16,1,32,0,16
1,16,1,32,0,16
1,16,1,32,0,13
1,16,1,32,0,11
1,16,1,32,0,48
1,16,1,32,0,15
1,16,1,32,0,16
1,16,1,32,0,13
1,16,1,32,0,26
1,16,1,32,0,23
1,16,1,32,0,114
1,16,1,32,0,15
1,16,1,32,0,15
1,16,1,32,0,15
1,16,1,32,0,17
1,16,1,32,0,17
1,16,1,32,0,15
1,16,1,32,0,15
1,16,1,32,0,22
1,16,1,32,0,24
1,16,1,32,0,39
1,16,1,32,0,15
1,16,1,32,0,17
1,16,1,32,0,116
1,16,1,32,0,18
1,16,1,32,0,15
1,16,1,32,0,14
1,16,1,32,0,15
1,16,1,32,0,11
1,16,1,32,0,66
1,16,1,32,0,29
1,16,1,32,0,19
1,16,1,32,0,15
1,16,1,32,0,19
1,16,1,32,0,17
1,16,1,32,0,22
1,16,1,32,0,21
1,16,1,32,0,76
1,16,1,32,0,18
1,16,1,32,0,12
1,16,1,32,0,14
1,16,1,32,0,105
1,16,1,32,0,88
1,16,1,32,0,113
1,16,1,32,0,114
1,16,1,32,0,52
1,16,1,32,0,25
1,16,1,32,0,17
1,16,1,32,0,25
1,16,1,32,0,118
1,16,1,32,0,25
1,16,1,32,0,22
1,16,1,32,0,17
1,16,1,32,0,16
1,16,1,32,0,13
1,16,1,32,0,14
1,16,1,32,0,14
1,16,1,32,0,25
1,16,1,32,0,30
1,16,1,32,0,34
1,16,1,32,0,17
1,16,1,32,0,14
1,16,1,32,0,13
1,16,1,32,0,29
1,16,1,32,0,11
1,16,1,32,0,12
1,16,1,32,0,13
1,16,1,32,0,10
1,16,1,32,0,20
1,16,1,32,0,15
1,16,1,32,0,18
1,16,1,32,0,40
1,16,1,32,0,62
1,16,1,32,0,13
1,16,1,32,0,13
1,16,1,32,0,17
1,16,1,32,0,16
1,16,1,32,0,15
1,16,1,32,0,91
1,16,1,32,0,14
1,16,1,32,0,53
1,16,1,32,0,13
1,16,1,32,0,92
1,16,1,32,0,14
1,16,1,32,0,117
1,16,1,32,0,16
1,16,1,32,0,21
1,16,1,32,0,12
1,16,1,32,0,14
1,16,1,32,0,10
1,16,1,32,0,14
1,16,1,32,0,12
1,16,1,32,0,35
1,16,1,32,0,98
1,16,1,32,0,12
1,16,1,32,0,524
1,16,1,32,0,899
1,16,1,32,0,13
1,16,1,32,0,166
1,16,1,32,0,12
1,16,1,32,0,12
1,16,1,32,0,16
1,16,1,32,0,34
1,16,1,32,0,12
1,16,1,32,0,14
1,16,1,32,0,17
1,16,1,32,0,18
1,16,1,32,0,20
1,16,1,32,0,26
1,16,1,32,0,23
1,16,1,32,0,18
